comuna|fraccion|radio|manzana|nombre
2|23|2|2|NULL
2|24|3|2|NULL
2|25|2|2|NULL
3|1|2|2|NULL
3|2|2|2|NULL
3|3|2|2|NULL
3|4|2|2|NULL
3|5|1|2|NULL
3|6|2|2|NULL
3|7|2|2|NULL
3|8|2|2|NULL
3|9|1|2|NULL
3|10|2|2|NULL
3|11|2|2|NULL
3|12|2|2|NULL
3|13|2|2|NULL
3|14|2|2|NULL
3|15|4|2|NULL
3|16|2|2|NULL
3|17|2|2|NULL
3|18|3|2|NULL
3|19|2|2|NULL
3|20|2|2|NULL
3|21|1|2|NULL
3|22|2|2|NULL
3|23|2|2|NULL
3|24|2|2|NULL
3|25|2|2|NULL
3|26|2|2|NULL
3|27|2|2|NULL
4|1|1|2|NULL
4|3|1|2|NULL
4|4|1|2|NULL
4|5|2|2|NULL
4|7|1|2|NULL
4|8|2|2|NULL
4|9|1|2|NULL
4|11|1|2|NULL
4|12|3|2|NULL
4|14|9|2|NULL
4|15|1|2|NULL
4|19|3|2|NULL
4|20|1|2|NULL
4|21|1|2|NULL
4|22|1|2|NULL
4|23|1|2|NULL
5|1|6|2|NULL
5|2|1|2|NULL
5|3|2|2|NULL
5|4|1|2|NULL
5|5|4|2|NULL
5|6|2|2|NULL
5|7|1|2|NULL
5|8|2|2|NULL
5|9|2|2|NULL
5|10|2|2|NULL
5|12|7|2|NULL
5|13|1|2|NULL
5|14|2|2|NULL
5|15|2|2|NULL
5|16|7|2|NULL
5|17|5|2|NULL
5|18|1|2|NULL
5|19|1|2|NULL
5|20|2|2|NULL
5|22|1|2|NULL
6|1|1|2|NULL
6|2|5|2|NULL
6|3|2|2|NULL
6|4|1|2|NULL
6|6|6|2|NULL
6|8|4|2|NULL
6|9|5|2|NULL
6|10|1|2|NULL
6|11|1|2|NULL
6|12|3|2|NULL
6|13|2|2|NULL
6|14|2|2|NULL
6|15|2|2|NULL
6|16|2|2|NULL
6|17|2|2|NULL
6|18|2|2|NULL
6|19|2|2|NULL
6|20|2|2|NULL
6|21|2|2|NULL
7|1|1|2|NULL
7|2|1|2|NULL
7|3|2|2|NULL
7|4|2|2|NULL
7|5|9|2|NULL
7|6|4|2|NULL
7|7|2|2|NULL
7|8|2|2|NULL
7|9|9|2|NULL
7|10|1|2|NULL
7|11|4|2|NULL
7|12|1|2|NULL
7|13|1|2|NULL
7|14|1|2|NULL
7|15|2|2|NULL
7|16|1|2|NULL
7|17|1|2|NULL
7|19|2|2|NULL
7|20|1|2|NULL
7|21|1|2|NULL
7|22|3|2|NULL
7|23|2|2|NULL
7|24|1|2|NULL
8|1|2|2|NULL
8|2|3|2|NULL
8|3|1|2|NULL
8|4|1|2|NULL
8|5|1|2|NULL
8|8|3|2|NULL
8|9|1|2|NULL
8|10|1|2|NULL
8|11|1|2|NULL
8|12|1|2|NULL
8|13|1|2|NULL
8|14|3|2|NULL
8|16|2|2|NULL
8|17|2|2|NULL
9|1|7|2|NULL
9|2|1|2|NULL
9|3|2|2|NULL
9|4|1|2|NULL
9|5|2|2|NULL
9|6|1|2|NULL
9|7|1|2|NULL
9|8|3|2|NULL
9|9|3|2|NULL
9|11|1|2|NULL
9|12|1|2|NULL
9|13|3|2|NULL
9|14|1|2|NULL
9|15|1|2|NULL
9|16|2|2|NULL
10|1|1|2|NULL
10|2|1|2|NULL
10|3|2|2|NULL
10|4|1|2|NULL
10|5|1|2|NULL
10|6|1|2|NULL
10|7|2|2|NULL
10|8|1|2|NULL
10|9|1|2|NULL
10|10|1|2|NULL
10|11|1|2|NULL
10|12|1|2|NULL
10|13|1|2|NULL
10|14|2|2|NULL
10|15|1|2|NULL
10|16|1|2|NULL
10|17|2|2|NULL
10|18|5|2|NULL
10|19|3|2|NULL
11|1|1|2|NULL
11|2|2|2|NULL
11|3|1|2|NULL
11|4|3|2|NULL
11|5|1|2|NULL
11|6|5|2|NULL
11|7|1|2|NULL
11|8|1|2|NULL
11|9|1|2|NULL
11|11|1|2|NULL
11|12|1|2|NULL
11|13|1|2|NULL
11|14|1|2|NULL
11|15|1|2|NULL
11|16|1|2|NULL
11|17|1|2|NULL
11|18|2|2|NULL
11|19|1|2|NULL
11|20|1|2|NULL
11|21|1|2|NULL
11|22|4|2|NULL
12|1|4|2|NULL
12|3|1|2|NULL
12|4|5|2|NULL
12|5|4|2|NULL
12|6|1|2|NULL
12|7|1|2|NULL
12|8|1|2|NULL
12|9|1|2|NULL
12|10|1|2|NULL
12|11|1|2|NULL
12|12|2|2|NULL
12|13|7|2|NULL
12|14|1|2|NULL
12|15|4|2|NULL
12|16|1|2|NULL
12|17|1|2|NULL
12|18|1|2|NULL
12|19|2|2|NULL
12|20|4|2|NULL
12|21|1|2|NULL
12|22|1|2|NULL
13|1|1|2|NULL
